data;

# Definindo valores para o parâmetro lambda
param lambda :=
    1 1 100
    1 2 100
    1 3 100
    1 4 100
    2 1 100
    2 2 100
    2 3 100
    2 4 100
    3 1 100
    3 2 0
    3 3 0
    3 4 0;


# Definindo valores para o parâmetro tau
param tau :=
    1 1 20
    1 2 20
    1 3 20
    1 4 20
    2 1 20
    2 2 20
    2 3 20
    2 4 20
    3 1 6
    3 2 0
    3 3 0
    3 4 0;
# Definindo valores para o parâmetro hemax
param hemax :=
1 50
2 50
3 50
4 50
5 50
6 50
7 50
8 50
9 50
10 20;

end;
